DateTime,Latitude,Longitude,Electric Power System > Energy Storage Main > 1 > Battery Space > Power,Electric Power System > Energy Storage Main > 1 > Battery Space > State of Charge,Electric Power System > Generator Set > 1 > Engine > Fuel Rate,Electric Power System > Generator Set > 1 > Engine > Load percentage,Electric Power System > Generator Set > 1 > Engine > Speed,Electric Power System > Generator Set > 1 > Engine > Torque percentage,Electric Power System > Generator Set > 2 > Engine > Fuel Rate,Electric Power System > Generator Set > 2 > Engine > Load percentage,Electric Power System > Generator Set > 2 > Engine > Speed,Electric Power System > Generator Set > 2 > Engine > Torque percentage,Navigation and Communication > Navigation Data > Location Current > Speed Over Ground,Propulsion and Steering > Propulsion Main Electric > Port > Inverter > Power,Propulsion and Steering > Propulsion Main Electric > Starboard > Inverter > Power,Propulsion and Steering > Thruster Electric > Port Aft > Inverter > Power,Propulsion and Steering > Thruster Electric > Port Forward > Inverter > Power
2026-03-02 12:50:00,59.92471,5.31337,21.34,,,,,,,,,,0.02,,,0.0,
2026-03-02 12:51:00,59.92472,5.31337,20.01,,,,,,,,,,0.03,,,,
2026-03-02 12:52:00,59.92472,5.31335,19.87,,,,,,,,,,0.02,0.0,0.0,,0.0
2026-03-02 12:53:00,59.92471,5.31337,23.18,58.35,,,,,0.0,0.0,0.0,0.0,0.0,,,,
2026-03-02 12:54:00,59.92472,5.31336,23.31,,0.0,0.0,0.0,0.0,,,,,0.02,,,,
2026-03-02 12:55:00,59.92472,5.31336,22.82,,,,,,,,,,,,,0.0,
2026-03-02 12:56:00,59.92472,5.31337,21.81,,,,,,,,,,0.03,,,,
2026-03-02 12:57:00,59.9247,5.31336,20.99,,,,,,,,,,0.02,0.0,0.0,,0.0
2026-03-02 12:58:00,59.92471,5.31337,21.19,58.1,,,,,,,,,0.02,,,,
2026-03-02 12:59:00,59.92471,5.31336,21.18,,0.0,0.0,0.0,0.0,,,,,0.0,,,,
2026-03-02 13:00:00,59.92471,5.31335,25.16,,,,,,,,,,0.02,,,0.0,
2026-03-02 13:01:00,59.92471,5.31336,24.41,,,,,,,,,,0.03,,,,
2026-03-02 13:02:00,59.92471,5.31335,24.79,,,,,,,,,,0.02,0.0,0.0,,0.0
2026-03-02 13:03:00,59.92472,5.31336,23.75,57.9,,,,,,,,,0.0,,,,
2026-03-02 13:04:00,59.92471,5.31335,24.95,,0.0,0.0,0.0,0.0,,,,,0.03,,,,
2026-03-02 13:05:00,59.9247,5.31337,25.91,,,,,,,,,,0.0,,,0.0,
2026-03-02 13:06:00,59.9247,5.31339,27.29,,,,,,,,,,0.03,,,,
2026-03-02 13:07:00,59.9247,5.31339,30.4,,,,,,,,,,0.02,0.0,0.0,,0.0
2026-03-02 13:08:00,59.9247,5.31337,30.48,57.8,,,,,,,,,0.02,,,,
2026-03-02 13:09:00,59.92471,5.31333,31.99,,0.0,0.0,0.0,0.0,,,,,0.0,,,,
2026-03-02 13:10:00,59.92473,5.31336,30.28,57.7,,,,,,,,,0.03,,,0.0,
2026-03-02 13:11:00,59.92472,5.31335,27.79,,,,,,,,,,0.02,,,,
2026-03-02 13:12:00,59.92471,5.31337,26.99,57.6,,,,,,,,,0.0,0.0,0.0,,0.0
2026-03-02 13:13:00,59.92472,5.31337,28.34,,,,,,,,,,0.03,,,,
2026-03-02 13:14:00,59.92472,5.31335,31.78,57.5,0.0,0.0,0.0,0.0,,,,,0.02,,,,
2026-03-02 13:15:00,59.92471,5.31336,31.24,,,,,,,,,,0.02,,,0.0,
2026-03-02 13:16:00,59.92472,5.31334,31.68,57.4,,,,,,,,,0.02,,,,
2026-03-02 13:17:00,59.92472,5.31337,29.63,,,,,,,,,,0.02,0.0,0.0,,0.0
2026-03-02 13:18:00,59.92473,5.31337,27.36,57.3,,,,,,,,,0.03,,,,
2026-03-02 13:19:00,59.92472,5.31337,27.72,,0.0,0.0,0.0,0.0,,,,,0.0,,,,
2026-03-02 13:20:00,59.92471,5.31337,24.85,57.2,,,,,,,,,0.02,,,,
2026-03-02 13:21:00,59.9247,5.31334,26.56,,,,,,,,,,0.02,,,0.0,
2026-03-02 13:22:00,59.9247,5.31338,27.03,,,,,,,,,,0.0,0.0,0.0,,0.0
2026-03-02 13:23:00,59.92471,5.31335,26.8,57.0,,,,,,,,,0.02,,,,
2026-03-02 13:24:00,59.9247,5.31338,24.73,,0.0,0.0,0.0,0.0,,,,,0.02,,,,
2026-03-02 13:25:00,59.9247,5.31336,23.62,,,,,,,,,,0.03,,,,
2026-03-02 13:26:00,59.92471,5.31339,22.96,,,,,,,,,,0.02,,,0.0,
2026-03-02 13:27:00,59.92472,5.31335,23.42,,,,,,,,,,0.02,0.0,0.0,,
